,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
19,19,457109100014169,66945011,2458423.9545236332,58423.4501157,16.9321613,0.0203008316,0,zg,78.6140139,6.0282275,3.90199995,0.0829999968,20181101450116,457,0x9,0x1,20.4799995,26.2210922,0.0329678282,-0.0532274209,1.05033687e-05,30,1.171,1
20,20,457109100014169,67136890,2458425.8734207097,58425.3689005,17.3811493,0.0240678806,0,zg,78.61428379999998,6.02813,3.96600008,0.400000006,20181103368738,457,0x9,0x1,21.1900005,26.0563164,0.0293915998,-0.0326774493,8.227232679999999e-06,30,1.20299995,1
21,21,457109100014169,67334351,2458427.848149228,58427.34351849999,16.4268036,0.0177893676,0,zg,78.61403389999998,6.0282860000000005,1.24000001,-0.0320000015,20181105343507,457,0x9,0x1,19.5499992,26.1445904,0.0476329289,-0.0390951633,3.857095e-05,30,1.25899994,1
22,22,457109100014169,67435372,2458428.858412136,58428.35372690001,16.717144,0.0190496761,0,zg,78.61403869999998,6.0283127,6.75299978,-0.136999995,20181106353715,457,0x9,0x1,20.670000100000006,26.2053471,0.0319339111,-0.0249145441,1.01655569e-05,30,1.22000003,1
23,23,457109100014169,67634357,2458430.84836484,58430.3435764,17.325910600000004,0.023504477000000003,0,zg,78.61425289999998,6.0279583,3.5079999,0.316000015,20181108343576,457,0x9,0x1,21.6399994,26.2200623,0.0248015802,-0.07309980690000001,5.98460065e-06,30,1.23300004,1
24,24,457109100014169,67743290,2458431.937747724,58431.4329051,16.8293953,0.019665014,0,zg,78.6140183,6.0281884,4.55900002,0.0209999997,20181109432894,457,0x9,0x1,20.4500008,26.1648235,0.0343694985,-0.0615202263,1.1423586300000003e-05,30,1.17700005,1
25,25,457109100014169,68041449,2458434.919472775,58434.41449069999,17.2205658,0.0225141458,0,zg,78.6143718,6.027883900000001,0.7919999959999999,0.00999999978,20181112414491,457,0x9,0x1,20.3799992,26.2058239,0.035956956400000004,-0.0350915045,1.27952535e-05,30,1.16400003,1
26,26,457109100014169,68343157,2458437.9366839863,58437.431574099995,16.976924899999997,0.020601131,0,zg,78.6140372,6.028185400000001,5.69999981,0.134000003,20181115431562,457,0x9,0x1,20.989999800000003,26.2370148,0.0268811863,-0.0680606142,6.9545089900000016e-06,30,1.20599997,1
27,27,457109100014169,68440967,2458438.9148242627,58438.40967590001,17.482976899999993,0.0251920503,0,zg,78.61432039999998,6.027957700000001,2.75500011,0.282000005,20181116409664,457,0x9,0x1,20.739999800000003,25.7115574,0.0381635651,-0.0556021035,1.41392538e-05,30,1.17200005,1
28,28,457109100014169,68543387,2458439.9390644,58439.4338773,17.383726100000004,0.0240949411,0,zg,78.6142382,6.0279647,5.15399981,0.458000004,20181117433877,457,0x9,0x1,21.4300003,26.0298042,0.026985839,-0.0691465139,7.120294870000001e-06,30,1.22500002,1
30,30,457109100014169,68929401,2458443.799334736,58443.294016199994,17.2262306,0.0225647148,0,zg,78.6141305,6.0280952,6.14099979,0.61500001,20181121294005,457,0x9,0x1,20.170000100000006,26.2025242,0.0360818505,-0.0645730272,1.39744734e-05,30,1.27999997,1
31,31,457109100014169,69639934,2458450.904839199,58450.3993403,17.0805016,0.0213544127,0,zg,78.6141066,6.0281663,5.39400005,0.444000006,20181128399329,457,0x9,0x1,20.6399994,26.191101100000004,0.0303054433,-0.053807016500000006,8.76946342e-06,30,1.21300006,1
32,32,457109100014169,70835076,2458462.8563787118,58462.35076390001,17.064373,0.0212315507,0,zg,78.61406619999998,6.028149,5.84100008,0.344999999,20181210350752,457,0x9,0x1,20.8799992,25.942958800000003,0.0283083841,-0.0676354691,7.99877944e-06,30,1.18099999,1
33,33,457109100014169,72627253,2458480.777874335,58480.2725347,16.7012444,0.0189687591,0,zg,78.61394459999998,6.0282441,2.65100002,0.0109999999,20181228272535,457,0x9,0x1,20.2700005,26.1922779,0.0367073901,-0.0449066237,1.34277088e-05,30,1.15400004,1
34,34,457109100014169,73322645,2458487.731550388,58487.22645830001,17.3328247,0.0235732812,0,zg,78.6143064,6.0279635,2.98200011,0.344000012,20190104226458,457,0x9,0x1,21.2600002,26.2346954,0.0247039665,-0.0615507178,5.93373761e-06,30,1.16199994,1
35,35,457109100014169,73922634,2458493.731161241,58493.2263426,17.299657800000002,0.0232475959,0,zg,78.61426479999999,6.027979900000001,3.52900004,0.294999987,20190110226343,457,0x9,0x1,21.25,26.2053127,0.0252416208,-0.0639459714,6.204262259999998e-06,30,1.14100003,1
36,36,457109100014169,74124576,2458495.750478609,58495.245763900006,17.019844100000004,0.020903118,0,zg,78.6141477,6.0280765999999995,4.38199997,0.150999993,20190112245752,457,0x9,0x1,20.6299992,25.9251652,0.0334546193,-0.0568630099,1.08592985e-05,30,1.14999998,1
37,37,457109100014169,75121938,2458505.7235066714,58505.219386599994,16.776260399999998,0.0193638988,0,zg,78.6138823,6.0282739,1.08399999,-0.0320000015,20190122219375,457,0x9,0x1,19.1299992,26.2264214,0.0445122756,-0.0576854497,4.66130368e-05,30,1.15100002,1
38,38,457109100014169,75319228,2458507.6962675974,58507.1922801,17.292066600000002,0.0231745914,0,zg,78.6142882,6.0280469000000005,3.19300008,0.191,20190124192280,457,0x9,0x1,20.6800003,26.219698,0.0291818939,-0.0467844009,8.302677999999999e-06,30,1.14100003,1
39,39,457109100014169,75619077,2458510.6945526907,58510.1907755,16.5901451,0.0184436832,0,zg,78.613991,6.0282447,2.19799995,-0.075000003,20190127190764,457,0x9,0x1,19.8400002,26.1504974,0.044501055,-0.0498108268,2.57205866e-05,30,1.14199996,1
