iter	Passed	Remaining
487	96	101
488	96	101
489	96	100
490	97	100
491	97	100
492	97	100
493	97	100
494	97	99
495	98	99
496	98	99
497	98	99
498	98	99
499	98	98
500	99	98
501	99	98
502	99	98
503	99	98
504	99	97
505	100	97
506	100	97
507	100	97
508	100	97
509	100	96
510	101	96
511	101	96
512	101	96
513	101	96
514	101	95
515	102	95
516	102	95
517	102	95
518	102	95
519	102	94
520	103	94
521	103	94
522	103	94
523	103	94
524	103	93
525	103	93
526	104	93
527	104	93
528	104	93
529	104	92
530	104	92
531	105	92
532	105	92
533	105	92
534	105	91
535	105	91
536	106	91
537	106	91
538	106	91
539	106	90
540	107	90
541	107	90
542	107	90
543	107	90
544	108	90
545	108	90
546	108	89
547	108	89
548	109	89
549	109	89
550	109	89
551	109	88
552	109	88
553	109	88
554	110	88
555	110	88
556	110	87
557	110	87
558	110	87
559	110	87
560	111	87
561	111	86
562	111	86
563	111	86
564	111	86
565	112	85
566	112	85
567	112	85
568	112	85
569	112	85
570	113	84
571	113	84
572	113	84
573	113	84
574	113	84
575	113	83
576	114	83
577	114	83
578	114	83
579	114	83
580	114	82
581	115	82
582	115	82
583	115	82
584	115	82
585	115	81
586	116	81
587	116	81
588	116	81
589	116	80
590	116	80
591	116	80
592	117	80
593	117	80
594	117	79
595	117	79
596	117	79
597	118	79
598	118	79
599	118	78
600	118	78
601	118	78
602	119	78
603	119	78
604	119	77
605	119	77
606	119	77
607	120	77
608	120	77
609	120	76
610	120	76
611	120	76
612	120	76
613	121	76
614	121	75
615	121	75
616	121	75
617	121	75
618	122	75
619	122	74
620	122	74
621	122	74
622	122	74
623	123	74
624	123	73
625	123	73
626	123	73
627	123	73
628	124	73
629	124	72
630	124	72
631	124	72
632	124	72
633	125	72
634	125	71
635	125	71
636	125	71
637	125	71
638	125	71
639	126	70
640	126	70
641	126	70
642	126	70
643	126	70
644	126	69
645	127	69
646	127	69
647	127	69
648	127	69
649	127	68
650	128	68
651	128	68
652	128	68
653	128	68
654	128	67
655	128	67
656	129	67
657	129	67
658	129	67
659	129	66
660	129	66
661	130	66
662	130	66
663	130	66
664	130	65
665	130	65
666	131	65
667	131	65
668	131	65
669	131	64
670	131	64
671	132	64
672	132	64
673	132	64
674	132	63
675	132	63
676	133	63
677	133	63
678	133	63
679	133	62
680	133	62
681	134	62
682	134	62
683	134	62
684	134	61
685	134	61
686	135	61
687	135	61
688	135	61
689	135	60
690	135	60
691	135	60
692	136	60
693	136	60
694	136	59
695	136	59
696	136	59
697	137	59
698	137	59
699	137	58
700	137	58
701	137	58
702	137	58
703	138	58
704	138	57
705	138	57
706	138	57
707	138	57
708	139	57
709	139	56
710	139	56
711	139	56
712	139	56
713	139	56
714	140	55
715	140	55
716	140	55
717	140	55
718	140	55
719	141	54
720	141	54
721	141	54
722	141	54
723	141	54
724	142	53
725	142	53
726	142	53
727	142	53
728	142	53
729	143	52
730	143	52
731	143	52
732	143	52
733	143	52
734	143	51
735	144	51
736	144	51
737	144	51
738	144	51
739	144	50
740	145	50
741	145	50
742	145	50
743	145	50
744	146	50
745	146	49
746	146	49
747	146	49
748	147	49
749	147	49
750	147	48
751	147	48
752	147	48
753	148	48
754	148	48
755	148	47
756	148	47
757	148	47
758	149	47
759	149	47
760	149	46
761	149	46
762	149	46
763	149	46
764	150	46
765	150	45
766	150	45
767	150	45
768	150	45
769	151	45
770	151	44
771	151	44
772	151	44
773	151	44
774	152	44
775	152	43
776	152	43
777	152	43
778	152	43
779	153	43
780	153	42
781	153	42
782	153	42
783	153	42
784	154	42
785	154	42
786	154	41
787	154	41
788	154	41
789	155	41
790	155	41
791	155	40
792	155	40
793	155	40
794	155	40
795	156	40
796	156	39
797	156	39
798	156	39
799	156	39
800	157	39
801	157	38
802	157	38
803	157	38
804	157	38
805	157	37
806	158	37
807	158	37
808	158	37
809	158	37
810	158	37
811	159	36
812	159	36
813	159	36
814	159	36
815	159	36
816	159	35
817	160	35
818	160	35
819	160	35
820	160	35
821	160	34
822	161	34
823	161	34
824	161	34
825	161	34
826	161	33
827	162	33
828	162	33
829	162	33
830	162	33
831	162	32
832	162	32
833	163	32
834	163	32
835	163	32
836	163	31
837	163	31
838	164	31
839	164	31
840	164	31
841	164	30
842	164	30
843	164	30
844	165	30
845	165	30
846	165	29
847	165	29
848	165	29
849	166	29
850	166	29
851	166	28
852	166	28
853	166	28
854	167	28
855	167	28
856	167	27
857	167	27
858	167	27
859	168	27
860	168	27
861	168	26
862	168	26
863	168	26
864	169	26
865	169	26
866	169	25
867	169	25
868	169	25
869	169	25
870	170	25
871	170	25
872	170	24
873	170	24
874	170	24
875	171	24
876	171	24
877	171	23
878	171	23
879	172	23
880	172	23
881	172	23
882	172	22
883	172	22
884	172	22
885	173	22
886	173	22
887	173	21
888	173	21
889	173	21
890	174	21
891	174	21
892	174	20
893	174	20
894	174	20
895	175	20
896	175	20
897	175	19
898	175	19
899	175	19
900	176	19
901	176	19
902	176	18
903	176	18
904	176	18
905	177	18
906	177	18
907	177	17
908	177	17
909	177	17
910	177	17
911	178	17
912	178	16
913	178	16
914	178	16
915	178	16
916	179	16
917	179	16
918	179	15
919	179	15
920	179	15
921	180	15
922	180	15
923	180	14
924	180	14
925	180	14
926	181	14
927	181	14
928	181	13
929	181	13
930	181	13
931	182	13
932	182	13
933	182	12
934	182	12
935	182	12
936	183	12
937	183	12
938	183	11
939	183	11
940	183	11
941	184	11
942	184	11
943	184	10
944	184	10
945	184	10
946	185	10
947	185	10
948	185	9
949	185	9
950	185	9
951	186	9
952	186	9
953	186	8
954	186	8
955	186	8
956	186	8
957	187	8
958	187	8
959	187	7
960	187	7
961	187	7
962	188	7
963	188	7
964	188	6
965	188	6
966	188	6
967	189	6
968	189	6
969	189	5
970	189	5
971	189	5
972	190	5
973	190	5
974	190	4
975	190	4
976	190	4
977	191	4
978	191	4
979	191	3
980	191	3
981	191	3
982	192	3
983	192	3
984	192	2
985	192	2
986	192	2
987	193	2
988	193	2
989	193	1
990	193	1
991	193	1
992	194	1
993	194	1
994	194	0
995	194	0
996	194	0
997	195	0
998	195	0
999	195	0
