iter	Passed	Remaining
0	0	279
1	0	251
2	0	233
3	0	224
4	1	218
5	1	209
6	1	210
7	1	208
8	1	207
9	2	205
10	2	204
11	2	204
12	2	202
13	2	201
14	3	200
15	3	198
16	3	198
17	3	198
18	3	197
19	4	196
20	4	195
21	4	196
22	4	195
23	4	194
24	4	193
25	5	193
26	5	193
27	5	193
28	5	192
29	5	191
30	6	191
31	6	190
32	6	190
33	6	191
34	6	191
35	7	191
36	7	191
37	7	191
38	7	191
39	7	190
40	8	191
41	8	191
42	8	190
43	8	190
44	8	190
45	9	189
46	9	189
47	9	189
48	9	189
49	9	189
50	10	189
51	10	189
52	10	189
53	10	188
54	10	188
55	11	188
56	11	188
57	11	188
58	11	188
59	12	188
60	12	187
61	12	187
62	12	187
63	12	187
64	13	187
65	13	186
66	13	186
67	13	186
68	13	186
69	14	186
70	14	186
71	14	186
72	14	186
73	14	185
74	15	185
75	15	185
76	15	185
77	15	185
78	15	184
79	16	184
80	16	184
81	16	184
82	16	184
83	16	183
84	17	184
85	17	184
86	17	184
87	17	184
88	17	183
89	18	183
90	18	183
91	18	183
92	18	183
93	19	183
94	19	183
95	19	183
96	19	183
97	20	185
98	20	185
99	20	184
100	20	184
101	20	184
102	21	184
103	21	183
104	21	183
105	21	183
106	21	183
107	22	182
108	22	182
109	22	182
110	22	182
111	22	182
112	23	182
113	23	182
114	23	182
115	23	181
116	24	181
117	24	181
118	24	181
119	24	181
120	24	181
121	25	180
122	25	180
123	25	180
124	25	180
125	25	179
126	26	179
127	26	179
128	26	179
129	26	179
130	26	178
131	27	178
132	27	178
133	27	178
134	27	178
135	28	178
136	28	177
137	28	177
138	28	177
139	28	177
140	29	177
141	29	176
142	29	176
143	29	176
144	29	176
145	30	175
146	30	175
147	30	175
148	30	175
149	30	175
150	31	175
151	31	174
152	31	174
153	31	174
154	32	174
155	32	174
156	32	174
157	32	173
158	32	173
159	33	173
160	33	173
161	33	173
162	33	173
163	33	172
164	34	172
165	34	172
166	34	172
167	34	172
168	34	171
169	35	171
170	35	171
171	35	171
172	35	171
173	36	171
174	36	170
175	36	170
176	36	170
177	36	170
178	37	170
179	37	169
180	37	169
181	37	169
182	37	169
183	38	169
184	38	168
185	38	168
186	38	168
187	38	168
188	39	168
189	39	167
190	39	167
191	39	167
192	40	167
193	40	167
194	40	166
195	40	166
196	40	166
197	41	166
198	41	165
199	41	165
200	41	165
201	41	165
202	42	165
203	42	164
204	42	164
205	42	164
206	42	164
207	43	164
208	43	164
209	43	163
210	43	163
211	44	163
212	44	163
213	44	163
214	44	163
215	45	163
216	45	163
217	45	163
218	45	162
219	45	162
220	46	162
221	46	162
222	46	161
223	46	161
224	46	161
225	47	161
226	47	160
227	47	160
228	47	160
229	47	160
230	47	159
231	48	159
232	48	159
233	48	158
234	48	158
235	48	158
236	49	158
237	49	157
238	49	157
239	49	157
240	49	157
241	50	156
242	50	156
243	50	156
244	50	156
245	50	155
246	51	155
247	51	155
248	51	155
249	51	154
250	51	154
251	52	154
252	52	154
253	52	154
254	52	153
255	52	153
256	53	153
257	53	153
258	53	153
259	53	152
260	53	152
261	54	152
262	54	152
263	54	151
264	54	151
265	54	151
266	55	151
267	55	150
268	55	150
269	55	150
270	55	149
271	55	149
272	56	149
273	56	149
274	56	149
275	56	148
276	56	148
277	57	148
278	57	148
279	57	147
280	57	147
281	57	147
282	58	147
283	58	146
284	58	146
285	58	146
286	58	145
287	58	145
288	59	145
289	59	145
290	59	144
291	59	144
292	59	144
293	60	144
294	60	143
295	60	143
296	60	143
297	60	143
298	61	143
299	61	142
300	61	142
301	61	142
302	61	142
303	61	141
304	62	141
305	62	141
306	62	141
307	62	140
308	62	140
309	63	140
310	63	140
311	63	139
312	63	139
313	63	139
314	64	139
315	64	138
316	64	138
317	64	138
318	64	138
319	64	138
320	65	137
321	65	137
322	65	137
323	65	137
324	65	136
325	66	136
326	66	136
327	66	136
328	66	135
329	66	135
330	67	135
331	67	135
332	67	134
333	67	134
334	67	134
335	68	134
336	68	134
337	68	134
338	68	133
339	68	133
340	69	133
341	69	133
342	69	132
343	69	132
344	69	132
345	69	132
346	70	132
347	70	131
348	70	131
349	70	131
350	70	131
351	71	130
352	71	130
353	71	130
354	71	130
355	71	129
356	71	129
357	72	129
358	72	129
359	72	128
360	72	128
361	72	128
362	73	128
363	73	127
364	73	127
365	73	127
366	73	127
367	73	126
368	74	126
369	74	126
370	74	126
371	74	126
372	74	125
373	74	125
374	75	125
375	75	125
376	75	124
377	75	124
378	75	124
379	76	124
380	76	123
381	76	123
382	76	123
383	76	123
384	76	122
385	77	122
386	77	122
387	77	122
388	77	122
389	77	121
390	78	121
391	78	121
392	78	121
393	78	120
394	78	120
395	79	120
396	79	120
397	79	120
398	79	119
399	79	119
400	79	119
401	80	119
402	80	119
403	80	118
404	80	118
405	80	118
406	81	118
407	81	117
408	81	117
409	81	117
410	81	117
411	82	117
412	82	117
413	82	116
414	82	116
415	83	116
416	83	116
417	83	116
418	83	115
419	83	115
420	84	115
421	84	115
422	84	115
423	84	114
424	84	114
425	84	114
426	85	114
427	85	113
428	85	113
429	85	113
430	85	113
431	85	113
432	86	112
433	86	112
434	86	112
435	86	112
436	86	111
437	87	111
438	87	111
439	87	111
440	87	110
441	87	110
442	87	110
443	88	110
444	88	110
445	88	109
446	88	109
447	88	109
448	88	109
449	89	108
450	89	108
451	89	108
452	89	108
453	89	108
454	90	107
455	90	107
456	90	107
457	90	107
458	90	107
459	91	106
460	91	106
461	91	106
462	91	106
463	91	106
464	92	105
465	92	105
466	92	105
467	92	105
468	92	105
469	92	104
470	93	104
471	93	104
472	93	104
473	93	104
474	93	103
475	94	103
476	94	103
477	94	103
478	94	103
479	94	102
480	95	102
481	95	102
482	95	102
483	95	102
484	95	101
485	96	101
486	96	101
