iter	MultiRMSE
129	0.3369150091
130	0.3353709865
131	0.3333295388
132	0.3321856677
133	0.3297528495
134	0.3280479304
135	0.3262383826
136	0.3242329285
137	0.3225034021
138	0.3206222868
139	0.3193395689
140	0.3175014312
141	0.3154915661
142	0.3134306013
143	0.3118706436
144	0.3108242263
145	0.3084604958
146	0.3074686297
147	0.3063860226
148	0.3044614784
149	0.3033634393
150	0.3010363
151	0.2994814202
152	0.298006959
153	0.2964176198
154	0.2955061778
155	0.293630089
156	0.2906823091
157	0.2891427558
158	0.2885439063
159	0.2867898322
160	0.285043117
161	0.2843155371
162	0.2825774949
163	0.2815592312
164	0.2805756639
165	0.2777518617
166	0.2766052554
167	0.2743474274
168	0.2716813463
169	0.2703562232
170	0.26962503
171	0.2681694386
172	0.2669347339
173	0.2657497064
174	0.2646289972
175	0.2634650489
176	0.2617429651
177	0.2604374938
178	0.2594184021
179	0.2575474795
180	0.2564301643
181	0.2558917471
182	0.2542269996
183	0.2528498411
184	0.251907731
185	0.2503019879
186	0.2479525262
187	0.2471907366
188	0.24540408
189	0.2444195903
190	0.2422702233
191	0.2404657201
192	0.2395721712
193	0.2389992516
194	0.2367627779
195	0.2360358943
196	0.2345555579
197	0.2342500783
198	0.2335636381
199	0.232353571
200	0.2314864834
201	0.2305549756
202	0.2300021525
203	0.2295416674
204	0.2286585082
205	0.2276320492
206	0.2260411042
207	0.2248340609
208	0.2238387386
209	0.2235212369
210	0.2230016517
211	0.2224689628
212	0.221217346
213	0.2210115341
214	0.2202940831
215	0.2197328018
216	0.218925451
217	0.218012694
218	0.2165760513
219	0.2151253061
220	0.2142098465
221	0.2136523199
222	0.212805516
223	0.2117412514
224	0.210361313
225	0.209509417
226	0.208452693
227	0.2078013544
228	0.2068498993
229	0.2061287831
230	0.2056517011
231	0.2050708675
232	0.2042495461
233	0.2039422084
234	0.2033939837
235	0.2029412415
236	0.2026858248
237	0.202215341
238	0.2014556696
239	0.2010140915
240	0.2002880719
241	0.1990238684
242	0.1985249337
243	0.1977761877
244	0.1972054233
245	0.1962316493
246	0.1957200748
247	0.1941486692
248	0.1938071769
249	0.193264867
250	0.1924102255
251	0.1912450391
252	0.1904341469
253	0.1900375402
254	0.1893417329
255	0.1891851405
256	0.1876516308
257	0.1869647951
258	0.1861093633
259	0.1856320733
260	0.1853808757
261	0.1850053463
262	0.1845386854
263	0.1832185494
264	0.1827312677
265	0.1815661036
266	0.1808622769
267	0.1802479837
268	0.1793804157
269	0.1788494784
270	0.1781056137
271	0.177853968
272	0.1771281349
273	0.1765656967
274	0.1758377832
275	0.1754185805
276	0.1749012656
277	0.1743780069
278	0.1740282676
279	0.1731357921
280	0.1724335609
281	0.1720363387
282	0.1715983253
283	0.1709895174
284	0.1705080383
285	0.169329049
286	0.1688597407
287	0.1679926782
288	0.167210416
289	0.1667543448
290	0.1662524598
291	0.1658066458
292	0.16532069
293	0.1645989118
294	0.1638688438
295	0.1635388967
296	0.1632194206
297	0.1621213329
298	0.1617182804
299	0.1612266822
300	0.1608099326
301	0.160427485
302	0.1601150017
303	0.1593249267
304	0.1590356808
305	0.1584786623
306	0.1580690044
307	0.1576074758
308	0.157224774
309	0.1564761564
310	0.1561200299
311	0.1557620619
312	0.1553929761
313	0.1549691577
314	0.1546765797
315	0.1544168526
316	0.1534396569
317	0.1532889836
318	0.1530832586
319	0.152728618
320	0.1517815881
321	0.1513170963
322	0.151118341
323	0.1508764288
324	0.1505040899
325	0.1502927524
326	0.150039023
327	0.1497347087
328	0.1495135339
329	0.1491660993
330	0.1488120343
331	0.1485880541
332	0.1484207443
333	0.1481040675
334	0.1477831608
335	0.1475521148
336	0.1472239568
337	0.1470777681
338	0.1469047515
339	0.1462116462
340	0.1458507316
341	0.1453789254
342	0.1449453385
343	0.1443722378
344	0.1439552978
345	0.1436600817
346	0.143418268
347	0.1428559748
348	0.1426663323
349	0.14200904
350	0.1417124406
351	0.1413165213
352	0.1411532619
353	0.1409688828
354	0.1407378673
355	0.1399169247
356	0.1393637287
357	0.1391786965
358	0.1389957928
359	0.1385636309
360	0.1381889001
361	0.1377617573
362	0.1370054121
363	0.1365065101
364	0.1362102642
365	0.1357366071
366	0.1350136702
367	0.1347321107
368	0.1344595328
369	0.1342237934
370	0.1340249514
371	0.133735051
372	0.1335808222
373	0.1333475961
374	0.1328235212
375	0.1326440587
376	0.132145614
377	0.1314912683
378	0.1314595485
379	0.1311246049
380	0.1309153586
381	0.1304542848
382	0.130221847
383	0.1298072836
384	0.1294780384
385	0.1293279886
386	0.129244543
387	0.1291365905
388	0.128534881
389	0.1284158121
390	0.1281607719
391	0.1279340491
392	0.1275763973
393	0.1271948165
394	0.126934015
395	0.1265627722
396	0.1264226259
397	0.1262424033
398	0.1260313024
399	0.125817931
400	0.1254215357
401	0.125266219
402	0.1248749607
403	0.1247229691
404	0.1245358316
405	0.1242935569
406	0.1240830025
407	0.123983072
408	0.1235666994
409	0.1234075682
410	0.1231772243
411	0.1230174885
412	0.1226301728
413	0.1223684887
414	0.1221376617
415	0.1218108244
416	0.1214968558
417	0.1212409556
418	0.1210463296
419	0.12092144
420	0.120877438
421	0.1207660072
422	0.1206560717
423	0.1205742235
424	0.1200498116
425	0.1198851843
426	0.1196803461
427	0.1194681584
428	0.1191009261
429	0.1188346965
430	0.1185448743
431	0.1184572017
432	0.118198313
433	0.1179968549
434	0.1178321344
435	0.1175072883
436	0.1173232794
437	0.1172214723
438	0.1170779109
439	0.1169720508
440	0.1165527922
441	0.1164429737
442	0.1162466306
443	0.115903763
444	0.1157999043
445	0.1155964496
446	0.1152741939
447	0.1150251354
448	0.1148731337
449	0.1145068877
450	0.1142803906
451	0.1140986242
452	0.1139175883
453	0.1137757922
454	0.1136009
455	0.1134567386
456	0.1131992331
457	0.113066191
458	0.1128259798
459	0.112716594
460	0.1125670582
461	0.1123647942
462	0.1121870371
463	0.1120376958
464	0.1119467686
465	0.1116496757
466	0.1115378529
467	0.1113578734
468	0.1112264437
469	0.1110892013
470	0.1109048579
471	0.1107262803
472	0.1105733915
473	0.1104432017
474	0.1103294449
475	0.1102784381
476	0.1101930883
477	0.1101047016
478	0.1099033621
479	0.1095867041
480	0.1094582126
481	0.1093121248
482	0.1092597667
483	0.1089247884
484	0.1086427099
485	0.1085737839
486	0.1082673774
487	0.1081924814
488	0.1080299624
489	0.1078770103
490	0.1075691082
491	0.1074147702
492	0.1072356922
493	0.1071579697
494	0.1070141614
495	0.1069519404
496	0.106816504
497	0.1065929948
498	0.1064408525
499	0.1061029696
500	0.1060234928
501	0.105870541
502	0.105747592
503	0.1054698565
504	0.1053345819
505	0.1051773203
506	0.1050695317
507	0.1049676656
508	0.1048164947
509	0.1045405392
510	0.104410084
511	0.1043257546
512	0.1042372704
513	0.1039951701
514	0.1039129452
515	0.1037331482
516	0.1036246088
517	0.1033384127
518	0.1033096258
519	0.1032146953
520	0.1031624929
521	0.1029233295
522	0.1027983025
523	0.1026864353
524	0.1025934247
525	0.1024106622
526	0.1021930683
527	0.102094878
528	0.1020150564
529	0.1018367434
530	0.1017292044
531	0.1016603576
532	0.1015182035
533	0.1014193077
534	0.1012446343
535	0.1011271779
536	0.1008653965
537	0.100745362
538	0.1005742621
539	0.1004487879
540	0.1002159869
541	0.100133333
542	0.100052267
543	0.09989628871
544	0.09982522183
545	0.09974143782
546	0.09965185789
547	0.09953118974
548	0.09937475269
549	0.09926176636
550	0.09911336752
551	0.09902460984
552	0.09886939686
553	0.09871770524
554	0.09860508021
555	0.0984372328
556	0.09827691145
557	0.09821817993
558	0.09802600769
559	0.09791698723
560	0.09787556585
561	0.09768648228
562	0.09753508037
563	0.09745671461
564	0.09729626895
565	0.09716942336
566	0.09708673257
567	0.09692356918
568	0.09670475334
569	0.09656592462
570	0.09645616714
571	0.09635303209
572	0.09626691972
573	0.09619349436
574	0.09595456759
575	0.0958515482
576	0.09561836671
577	0.0954818967
578	0.09543787454
579	0.09533075121
580	0.09523729307
581	0.09515183818
582	0.09500614972
583	0.09491232337
584	0.09476335957
585	0.09468095519
586	0.09453607832
587	0.09444121253
588	0.09430792682
589	0.0940888455
590	0.09396282783
591	0.09385165252
592	0.09367882916
593	0.09356085823
594	0.09348227979
595	0.09335001112
596	0.0933081432
597	0.09324741767
598	0.09310603515
599	0.09298046207
600	0.0929135791
601	0.09277869964
602	0.09271864531
603	0.09263576447
604	0.09250495249
605	0.09237854314
606	0.09227942243
607	0.09222631051
608	0.09212780506
609	0.09201958759
610	0.09187959335
611	0.09179619661
612	0.09169565309
613	0.09163797721
614	0.09157864208
615	0.09145071104
616	0.09142635798
617	0.09131040166
618	0.09110946013
619	0.09105045777
620	0.09094345421
621	0.09086811727
622	0.09074077926
623	0.09068507231
624	0.09061068587
625	0.09048450123
626	0.09044214813
627	0.09036351353
628	0.09029618181
629	0.09024363794
630	0.09014874932
631	0.09010413454
632	0.09003949891
633	0.08996122905
634	0.08994599628
635	0.08988780958
636	0.08981301198
637	0.08974077223
638	0.08967553487
639	0.08955415437
640	0.08943942111
641	0.08934229899
642	0.08927146339
643	0.08921404488
644	0.089094451
645	0.08900130404
646	0.08895395779
647	0.08892099447
648	0.08879367518
649	0.08872119314
650	0.08867394873
651	0.08853965255
652	0.08850945445
653	0.08844309357
654	0.08835184693
655	0.08828944271
656	0.08821466148
657	0.08816986266
658	0.08814755427
659	0.08809283253
660	0.08805086292
661	0.08799245012
662	0.0878781581
663	0.08773181187
664	0.08765163653
665	0.08752301544
666	0.08747650836
667	0.08745669325
668	0.08738713262
669	0.08735983044
670	0.08729403548
671	0.08723616714
672	0.08709551031
673	0.08698725155
674	0.08689943103
675	0.08680724444
676	0.08676857743
677	0.0866524481
678	0.08656889856
679	0.08650009806
680	0.08641339899
681	0.08632862916
682	0.08625279412
683	0.08613948564
684	0.08609652878
685	0.08589139247
686	0.08577845032
687	0.08566586005
688	0.08559025767
689	0.08552407373
690	0.08541175971
691	0.08535710086
692	0.08530557317
693	0.08526543629
694	0.08523927244
695	0.08518524653
696	0.08513048026
697	0.08502487053
698	0.08500643525
699	0.08487374875
700	0.08483981296
701	0.08479762032
702	0.08473453018
703	0.0846989583
704	0.08461113648
705	0.08442878999
706	0.08435741563
707	0.08420067669
708	0.08409776994
709	0.08395948976
710	0.08389449284
711	0.08381722632
712	0.08372745047
713	0.08362395385
714	0.08352286037
715	0.08343187315
716	0.08338696093
717	0.08325431467
718	0.08315051043
719	0.08308537366
720	0.08301342368
721	0.08294071361
722	0.08290760756
723	0.08283550134
724	0.08279405604
725	0.08274992421
726	0.08267638136
727	0.08249132132
728	0.08238520124
729	0.08235260709
730	0.08227502966
731	0.08223503195
732	0.08213625216
733	0.08210580078
734	0.08207638097
735	0.08201442436
736	0.08195742662
737	0.08188201484
738	0.08182157498
739	0.08175271832
740	0.08169070856
741	0.08161408916
742	0.08153192311
743	0.08145357274
744	0.081407093
745	0.081375591
746	0.08126491171
747	0.08120892961
748	0.08113985287
749	0.08110075621
750	0.08104201675
751	0.08094981831
752	0.08086218441
753	0.08078340418
754	0.08066935317
755	0.0806173142
756	0.08054551798
757	0.08049820505
758	0.08046521052
759	0.08039271192
760	0.08034776847
761	0.08030487974
762	0.08028772863
763	0.08014989692
764	0.08008772225
765	0.07997584748
766	0.07992632954
767	0.07985451746
768	0.07980815004
769	0.07975858795
770	0.07965493362
771	0.07958140704
772	0.0795589776
773	0.07945049043
774	0.07940106839
775	0.07927284009
776	0.07925213431
777	0.07920327582
778	0.07913349764
779	0.07910418537
780	0.079044103
781	0.07894324284
782	0.07888872694
783	0.07885241817
784	0.07880300634
785	0.07874441949
786	0.07862205534
787	0.0786045178
788	0.07855933954
789	0.07848241561
790	0.0784211296
791	0.07839880267
792	0.07839378813
793	0.07837088285
794	0.07832269204
795	0.07826820613
796	0.07824438104
797	0.07819896352
798	0.07817235899
799	0.07811527315
800	0.07803128095
801	0.07801365449
802	0.07794406996
803	0.07786232188
804	0.07775065683
805	0.07768967784
806	0.07764828515
807	0.07761885666
808	0.07756214221
809	0.07752010394
810	0.0774879692
811	0.07744967982
812	0.07736338511
813	0.07732623913
814	0.07722511783
815	0.07714824232
816	0.07710788403
817	0.0770825986
818	0.07704316115
819	0.07700802908
820	0.07694733158
821	0.07693346016
822	0.07689871256
823	0.07679743088
824	0.07676126675
825	0.07670156128
826	0.07662427535
827	0.07658132362
828	0.07653100322
829	0.07648017928
830	0.07642755418
831	0.07634881264
832	0.07631499134
833	0.07627179844
834	0.07611993667
835	0.07607071813
836	0.07602397334
837	0.07598632122
838	0.07594626144
839	0.0758647342
840	0.0758068313
841	0.07577112165
842	0.07570784813
843	0.07566713496
844	0.0756111579
845	0.07555774739
846	0.07546342537
847	0.07542679701
848	0.07537839694
849	0.07527848845
850	0.07524704066
851	0.07516374214
852	0.07510113994
853	0.07500451396
854	0.07495497679
855	0.07491071205
856	0.07489621376
857	0.07485416427
858	0.07483182117
859	0.07475823034
860	0.07472518811
861	0.07464304707
862	0.07463320743
863	0.07454613198
864	0.07449584765
865	0.07442436095
866	0.07438016133
867	0.07434704499
868	0.07433625874
869	0.07425163151
870	0.07422337753
871	0.07416055341
872	0.07410233774
873	0.07404241284
874	0.07399907473
875	0.07396203285
876	0.07391561178
877	0.07388410235
878	0.0738328618
879	0.0737837998
880	0.07373938293
881	0.07368409329
882	0.07363915023
883	0.07348740837
884	0.07336012936
885	0.07332624241
886	0.07328036784
887	0.07323219233
888	0.07320196976
889	0.07315004441
890	0.07307918087
891	0.07300563763
892	0.07292877157
893	0.07290916301
894	0.07287133575
895	0.07281462754
896	0.07274937798
897	0.07269048171
898	0.07264663477
899	0.07261046035
900	0.07253192917
901	0.07246627216
902	0.07245974061
903	0.0723784657
904	0.07230247307
905	0.07223799399
906	0.07218480744
907	0.07210405147
908	0.07197081497
909	0.07189338533
910	0.07186239554
911	0.07181629493
912	0.07178166756
913	0.07172599083
914	0.07168560759
915	0.07163986212
916	0.07156925794
917	0.07154140752
918	0.07147974366
919	0.07144469158
920	0.0714111224
921	0.07133716954
922	0.07125049792
923	0.07117867447
924	0.07111951118
925	0.07106406054
926	0.07102150638
927	0.07097017119
928	0.07092584552
929	0.07086043734
930	0.07082403767
931	0.07079271608
932	0.07075412374
933	0.07069499581
934	0.07065251036
935	0.07063012731
936	0.07056041063
937	0.07049227647
938	0.07044378193
939	0.07034102127
940	0.07029832925
941	0.07025392625
942	0.07018959643
943	0.07013746019
944	0.07009633819
945	0.07004465919
946	0.07000410483
947	0.06998055033
948	0.06989755788
949	0.06985062856
950	0.06983298646
951	0.069812549
952	0.06976789851
953	0.06970275005
954	0.06962702535
955	0.06957140836
956	0.06950398114
957	0.06946567039
958	0.0694377754
959	0.06942043904
960	0.06935446397
961	0.06930432361
962	0.06929192009
963	0.06925403916
964	0.06919274581
965	0.06913792788
966	0.069084529
967	0.06903875602
968	0.06895999525
969	0.0689170693
970	0.06887495224
971	0.06885680571
972	0.06880664835
973	0.06874759176
974	0.06870114333
975	0.06866207276
976	0.06864524101
977	0.06862853442
978	0.06857293603
979	0.06852193208
980	0.06847359936
981	0.06844242239
982	0.068404964
983	0.06835139775
984	0.06832675602
985	0.06822184693
986	0.06818873478
987	0.068115653
988	0.06806813371
989	0.06800526991
990	0.0679637129
991	0.06794048611
992	0.06789829073
993	0.06786108101
994	0.0677823675
995	0.06770387582
996	0.06766722985
997	0.06763265774
998	0.06760300434
999	0.06758736456
