iter	MultiRMSE
0	0.9843470011
1	0.9726615767
2	0.9596464725
3	0.9476655225
4	0.9352161706
5	0.927159915
6	0.917147142
7	0.9058130239
8	0.888001849
9	0.8769444085
10	0.8672226644
11	0.8528147562
12	0.8467099327
13	0.8318127138
14	0.8235893403
15	0.8145144804
16	0.8018070326
17	0.7902388501
18	0.78257443
19	0.7752769973
20	0.764906558
21	0.7584940641
22	0.7489141634
23	0.7401830578
24	0.7326699191
25	0.7258405522
26	0.7156284354
27	0.7056439358
28	0.6997923809
29	0.6922461353
30	0.6862117424
31	0.6790213416
32	0.6722376774
33	0.6661552586
34	0.6588735748
35	0.6539616321
36	0.6474542149
37	0.6428917894
38	0.6375754296
39	0.6339916843
40	0.6293056932
41	0.6230757516
42	0.6182614306
43	0.6136007745
44	0.6082423482
45	0.6023523175
46	0.5942907054
47	0.5897197171
48	0.5832402687
49	0.5795906405
50	0.5740264484
51	0.5656986205
52	0.5635179899
53	0.5599050729
54	0.554391592
55	0.5513114198
56	0.5457505648
57	0.5411819204
58	0.5360481479
59	0.5306806702
60	0.5283517553
61	0.5238439195
62	0.5193641106
63	0.5166773441
64	0.5141944056
65	0.5090581474
66	0.5052822204
67	0.5018815573
68	0.4997330496
69	0.4960557762
70	0.4939757267
71	0.4877930832
72	0.4844373616
73	0.4819468686
74	0.4774595017
75	0.4729104258
76	0.4708202882
77	0.468543221
78	0.4649989747
79	0.4591379474
80	0.4570486859
81	0.4515045989
82	0.4479455743
83	0.4435090359
84	0.4402165733
85	0.4385076829
86	0.4358368821
87	0.4335740113
88	0.4288029718
89	0.4248529116
90	0.4206490378
91	0.4188689158
92	0.4163183833
93	0.4131099431
94	0.4112956735
95	0.4074957831
96	0.4059944079
97	0.4031088754
98	0.4012159163
99	0.3998653038
100	0.3981242359
101	0.3977927806
102	0.3958391119
103	0.3918372228
104	0.3895578994
105	0.3875588584
106	0.3846340874
107	0.380688589
108	0.3773097462
109	0.3760030489
110	0.3720865431
111	0.3699743193
112	0.36813444
113	0.366377835
114	0.3644247393
115	0.3626756649
116	0.3608012163
117	0.3585165507
118	0.3563987811
119	0.3541287365
120	0.3527910872
121	0.3514771039
122	0.3506653808
123	0.3480621044
124	0.3468419369
125	0.3443272208
126	0.3421895532
127	0.3405834506
128	0.3383324443
