,Unnamed: 0,oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
21,21,722113400020693,81440380,2458568.9057514537,58568.4038079,20.7456875,0.178971529,0,zg,248.0161364,42.5111673,0.3810000120000001,0.09000000359999999,20190326403785,722,0xd,0x4,20.6599998,26.1387749,0.038527362,-0.0021050092800000003,2.5934930800000006e-05,30,1.11600006,2
22,22,722113400020693,81849535,2458572.9974352405,58572.495358800006,21.097772600000006,0.206634402,0,zg,248.01608109999998,42.5118618,0.663999975,-0.216999993,20190330495359,722,0xd,0x4,21.4099998,26.2023392,0.0297617503,-0.0430775508,1.21118301e-05,30,1.00999999,2
23,23,722113400020693,82848625,2458582.988609957,58582.48625,21.3465672,0.226181865,0,zg,248.01626519999996,42.5116526,0.395000011,0.0199999996,20190409486192,722,0xd,0x4,21.7099991,26.1889877,0.0267838333,-0.0418759696,9.69436405e-06,30,1.02100003,2
24,24,722113400020693,83046422,2458584.966633172,58584.4642245,21.5385532,0.241266012,0,zg,248.01615180000002,42.5114628,0.414000005,-0.195999995,20190411464201,722,0xd,0x4,21.6499996,26.1804962,0.0285985786,-0.0620763302,1.09757084e-05,30,1.01100004,2
25,25,722113400020693,84427681,2458598.779491661,58598.2768171,21.4507141,0.234364629,0,zg,248.01654100000002,42.511377200000005,0.75999999,-0.0410000011,20190425276817,722,0xd,0x4,21.75,26.0914593,0.0273228008,-0.0502292588,9.86167561e-06,30,1.28100002,2
26,26,722113400020693,85429899,2458608.801774936,58608.2989931,21.1612606,0.211622596,0,zg,248.0158196,42.5115328,0.586000025,-0.151999995,20190505298970,722,0xd,0x4,21.1200008,26.1016331,0.032843388599999995,-0.0357065685,1.5411922500000002e-05,30,1.10500002,1
27,27,722113400020693,85827903,2458612.781842833,58612.279039400004,21.2193546,0.216187,0,zg,248.016451,42.5117234,0.298999995,0.0209999997,20190509279039,722,0xd,0x4,21.9500008,26.1067238,0.0254602581,-0.0537140556,9.00864052e-06,30,1.12899995,2
28,28,722113400020693,86225384,2458616.7566556297,58616.2538426,19.8276825,0.103208125,0,zg,248.01652819999995,42.5117605,1.13100004,0.0469999984,20190513253819,722,0xd,0x4,20.8799992,26.0632076,0.0329062305,-0.034322571,1.6630716300000002e-05,30,1.17299998,2
29,29,722113400020693,86245010,2458616.9529174184,58616.45010419999,19.7712955,0.0991292745,0,zg,248.01659390000003,42.5117325,1.22800004,0.187000006,20190513450093,722,0xd,0x4,21.8899994,26.1110687,0.0265320837,-0.0464468785,9.48316756e-06,30,1.11600006,1
30,30,722113400020693,86245100,2458616.953820118,58616.4510069,19.7704334,0.0990679488,0,zg,248.0165179,42.5117542,1.02199996,0.162,20190513451007,722,0xd,0x4,21.9599991,26.1092167,0.0269585438,-0.0459969491,9.80989626e-06,30,1.11899996,2
31,31,722113400020693,86341034,2458617.9131608205,58617.4103472,19.4222374,0.0768043846,0,zg,248.01654100000002,42.5117139,0.921000004,0.0540000014,20190514410324,722,0xd,0x4,21.2800007,26.147977800000003,0.0281059053,-0.0564650372,1.07989345e-05,30,1.04299998,2
32,32,722113400020693,86342537,2458617.928184016,58617.4253704,19.4772167,0.07998826349999999,0,zg,248.0165391,42.5117265,0.86500001,0.158999994,20190514425359,722,0xd,0x4,21.7000008,26.1359158,0.0259279106,-0.0487282835,9.0859603e-06,30,1.06700003,2
33,33,722113400020693,86344623,2458617.9490520093,58617.44623840001,19.4436722,0.0780312046,0,zg,248.01653819999999,42.511720399999994,1.17400002,0.0149999997,20190514446227,722,0xd,0x4,22.1000004,26.1322327,0.0257985648,-0.0585546121,9.08694801e-06,30,1.11300004,2
35,35,722113400020693,86526708,2458619.7698956733,58619.26708330001,18.7915134,0.048281718,0,zg,248.01646180000003,42.5117598,0.5989999770000001,-0.0860000029,20190516267083,722,0xd,0x4,20.0100002,26.0288754,0.039967753,-0.0104346154,3.98788252e-05,30,1.11000001,1
36,36,722113400020693,86526798,2458619.7707984773,58619.26798609999,18.7880268,0.048160471,0,zg,248.0165105,42.5116842,0.6970000270000001,0.107000001,20190516267986,722,0xd,0x4,20.0599995,26.0374031,0.0391486399,-0.0257162359,3.514573470000001e-05,30,1.10699999,2
37,37,722113400020693,86527981,2458619.782627169,58619.2798148,18.4158268,0.0370837972,0,zg,248.0165956,42.511656099999996,0.411000013,-0.0130000003,20190516279757,722,0xd,0x4,19.4799995,26.1248188,0.0422184877,-0.011802763700000002,6.445953480000001e-05,30,1.08000004,2
38,38,722113400020693,87421762,2458628.7203975897,58628.2176273,18.0721989,0.0296268482,0,zg,248.0165147,42.5117208,0.5299999710000001,0.0590000004,20190525217627,722,0xd,0x4,21.5300007,26.0522518,0.0307649858,-0.0526627451,1.29417976e-05,30,1.18499994,2
39,39,722113400020693,87834959,2458632.852325764,58632.3495949,18.0752792,0.0296838656,0,zg,248.01654580000002,42.5117549,0.72299999,0.0340000018,20190529349583,722,0xd,0x4,21.6200008,26.1439457,0.0285901297,-0.0467657298,1.10298515e-05,30,1.02100003,2
40,40,722113400020693,87835054,2458632.853274854,58632.35054400001,18.0699387,0.0295851082,0,zg,248.0165253,42.511743,1.01999998,0.101000004,20190529350521,722,0xd,0x4,21.670000100000006,26.1415997,0.0277563538,-0.0465185903,1.04067394e-05,30,1.02199996,1
41,41,722113400020693,87842841,2458632.9311443646,58632.428414400005,18.0864372,0.0298917815,0,zg,248.0165404,42.5117225,1.13199997,-0.00100000005,20190529428414,722,0xd,0x4,21.5200005,26.1234589,0.0267908312,-0.045458301900000005,9.97709594e-06,30,1.18499994,2
42,42,722113400020693,87844085,2458632.9435863174,58632.440856500005,18.1129532,0.0303945448,0,zg,248.0165505,42.511734499999996,0.829999983,-0.064000003,20190529440856,722,0xd,0x4,21.4099998,26.1130352,0.0286268331,-0.0431661606,1.14623717e-05,30,1.23300004,2
43,43,722113400020693,87921165,2458633.71437612,58633.2116551,18.1272125,0.0306699909,0,zg,248.0165344,42.5117037,0.6769999859999999,0.0540000014,20190530211644,722,0xd,0x4,21.489999800000003,26.1204262,0.0290158447,-0.0627357587,1.14059212e-05,30,1.15900004,2
44,44,722113400020693,87923189,2458633.7346188948,58633.23189809999,18.0980854,0.0301111415,0,zg,248.01650130000002,42.511708299999995,1.16100001,0.0689999983,20190530231898,722,0xd,0x4,21.5100002,26.1211948,0.0273128059,-0.0525218509,1.02239474e-05,30,1.102,2
45,45,722113400020693,87926717,2458633.769896296,58633.26717590001,18.1276474,0.0306784585,0,zg,248.0165304,42.511716799999995,0.412,0.030999999500000007,20190530267164,722,0xd,0x4,21.7299995,26.1360264,0.0272724871,-0.048873752400000005,1.01215146e-05,30,1.03799999,2
46,46,722113400020693,88120834,2458635.7110411217,58635.2083449,18.1541786,0.0312008802,0,zg,248.016529,42.511719299999996,0.832000017,0.0759999976,20190601208333,722,0xd,0x4,21.8899994,26.0974045,0.0264098234,-0.0498789549,9.67195956e-06,30,1.15199995,2
47,47,722113400020693,88122017,2458635.7228696737,58635.22017359999,18.1647224,0.031412046400000004,0,zg,248.0165187,42.5117124,0.596000016,-0.00600000005,20190601220174,722,0xd,0x4,21.9099998,26.1150227,0.0264138635,-0.0533015132,9.46842283e-06,30,1.11800003,1
48,48,722113400020693,88122109,2458635.723795561,58635.2210995,18.1630802,0.0313790143,0,zg,248.01651319999996,42.5117273,0.703999996,0.0970000029,20190601221088,722,0xd,0x4,21.8400002,26.1143818,0.025851706,-0.052067287300000015,9.17484249e-06,30,1.11500001,2
